caso_numero,victima_edad,victima_identidad_genero,victima_tipo,hecho_provincia,hecho_modalidad_comisiva,hecho_fecha,año,mes
741,38,MUJER,PRINCIPAL,Buenos Aires,DEGOLLAMIENTO,2016-10-16,2016,10
747,,MUJER,PRINCIPAL,Buenos Aires,OTROS,2016-10-17,2016,10
746,35,MUJER,PRINCIPAL,Jujuy,QUEMADURAS,2016-10-17,2016,10
748,42,MUJER,PRINCIPAL,Tucuman,APUÑALAMIENTO,2016-10-18,2016,10
751,41,MUJER,PRINCIPAL,Mendoza,ACUCHILLAMIENTO,2016-10-19,2016,10
756,22,MUJER,PRINCIPAL,Tucuman,QUEMADURAS,2016-10-19,2016,10
753,43,MUJER,PRINCIPAL,Cordoba,ACUCHILLAMIENTO,2016-10-23,2016,10
752,65,MUJER,VINCULADO,Cordoba,ACUCHILLAMIENTO,2016-10-23,2016,10
752,31,MUJER,PRINCIPAL,Mendoza,ACUCHILLAMIENTO,2016-10-23,2016,10
752,90,MUJER,VINCULADO,Mendoza,ACUCHILLAMIENTO,2016-10-23,2016,10
754,53,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-10-24,2016,10
755,26,TRANSGENERO,PRINCIPAL,Misiones,GOLPES,2016-10-27,2016,10
757,39,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2016-10-29,2016,10
869,,,VINCULADO,Rio Negro,ACUCHILLAMIENTO,2016-10-29,2016,10
947,30,MUJER,PRINCIPAL,Cordoba,APUÑALAMIENTO,2016-10-30,2016,10
1219,90,MUJER,PRINCIPAL,Cordoba,ACUCHILLAMIENTO,2016-11-04,2016,11
759,45,MUJER,PRINCIPAL,Entre Rios,DISPARO DE BALA,2016-11-05,2016,11
759,37,MUJER,PRINCIPAL,Entre Rios,DISPARO DE BALA,2016-11-05,2016,11
760,5,MUJER,VINCULADO,Entre Rios,APUÑALAMIENTO,2016-11-07,2016,11
760,7,MUJER,PRINCIPAL,Entre Rios,APUÑALAMIENTO,2016-11-07,2016,11
760,23,MUJER,PRINCIPAL,Entre Rios,APUÑALAMIENTO,2016-11-07,2016,11
760,23,HOMBRE,VINCULADO,Entre Rios,APUÑALAMIENTO,2016-11-07,2016,11
761,35,MUJER,PRINCIPAL,Entre Rios,OTROS,2016-11-09,2016,11
764,34,MUJER,PRINCIPAL,Mendoza,DISPARO DE BALA,2016-11-11,2016,11
